object_id,legacy_object,legacy_path_or_tab,legacy_meaning,current_status,target_object,migration_action,reason,current_ktd_source,human_owner_or_decision,notes
KTD-L-001,Legacy report projection,report,Legacy dashboard and report surface,ARCHIVE_ONLY,,Exclude from active workbook,It can contradict the singular current state,migration package 01 and 05,Locked migration decision,Retain only in the original workbook
KTD-L-002,Owner action surface,00_Y_VIEN_CAN_CHOT,Legacy gap and owner-action projection,ARCHIVE_ONLY,,Exclude from active workbook,Obsolete constraints must not become current state,migration package 02,Locked migration decision,Historical reference only
KTD-L-003,Legacy control surface,00_CONTROL,Legacy runtime and topology controls,TRANSFORM,_CONTROL_PLANE,Rebuild as topology metadata only,Machine resolution remains useful but business content must not be duplicated,migration package 06,Locked migration decision,Do not copy legacy business values
KTD-L-004,Source inventory,01_SOURCE_INVENTORY,Legacy provenance table,ARCHIVE_ONLY,Legacy reference pointer,Retain in source only,Current human workbook has no source inventory tab,migration package 05,Locked migration decision,Provenance moves to repository evidence
KTD-L-005,Input gaps,02_INPUT_GAPS,Legacy active blocker table,ARCHIVE_ONLY,,Exclude from active runtime,Removed governance cannot constrain ordinary KTD content,migration package 02,Locked migration decision,Current unknowns remain in migration evidence
KTD-L-006,Output index,03_OUTPUT_INDEX,Legacy artifact-to-Sheet binding,ARCHIVE_ONLY,Migration evidence pointers,Retain in source only,Target Control Plane binds semantic topology rather than deliverable prose,migration package 06,Locked migration decision,
KTD-L-007,Decision log,04_DECISIONS,Legacy operational decisions and approvals,ARCHIVE_ONLY,Legacy reference pointer,Retain as lineage,Current owner instruction supersedes conflicting legacy controls,live owner instruction,Current owner instruction,Provided gid resolves to this legacy tab
KTD-L-008,KPI dictionary,05_KPI_DICTIONARY,Legacy metric definitions,TRANSFORM,YV_04_CAMPAIGN_CALENDAR,Simplify into result and learning fields,Metric meaning is useful without a separate bureaucracy,migration package 04 and 05,Locked migration decision,
KTD-L-009,Compliance rules,06_COMPLIANCE_RULES,Legacy communication compliance gates,ARCHIVE_ONLY,,Exclude from active runtime,Explicitly removed from the KTD communication runtime,migration package 02,Locked migration decision,
KTD-L-010,Legacy brand profile,YV_01_brand_profile,Toplink identity and brand attributes,REPLACE,YV_01_BRAND,Populate only from current KTD truth,Legacy identity cannot establish current KTD facts,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,Unknown fields stay unconfirmed
KTD-L-011,Legacy audience,YV_02_audience,Legacy personas and segments,REVALIDATE,YV_02_AUDIENCE_PAGE,Convert only supported observations into need states,Legacy precision is not current audience evidence,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-008,Current owner instruction,No unsupported demographics
KTD-L-012,Legacy positioning,YV_03_positioning,Toplink positioning and exclusions,REPLACE,YV_01_BRAND,Rebuild from current KTD boundaries,Brand evolved materially,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-013,Legacy narrative,YV_04_narrative,Toplink story architecture,TRANSFORM,YV_01_BRAND and YV_03_CONTENT_SYSTEM,Retain grammar only and replace factual story,Story method is useful but current facts are unknown,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-003,Current owner instruction,
KTD-L-014,Legacy content pillars,YV_05_content_pillars,Legacy content categories,TRANSFORM,YV_03_CONTENT_SYSTEM,Map useful logic to current territories,Target territories are locked and state-based,migration package 04,Locked migration decision,
KTD-L-015,Legacy Page strategy,YV_06_page_strategy,Legacy Page role and funnel,TRANSFORM,YV_02_AUDIENCE_PAGE,Rebuild role CTA and boundaries,Current Page non-role and CTA policy supersede legacy gates,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-016,Legacy campaign,YV_07_campaign,Four-week campaign,REPLACE,YV_04_CAMPAIGN_CALENDAR,Use business-state Dry Run brief,Calendar-first assumptions are obsolete,migration package 02 and 04,Locked migration decision,
KTD-L-017,Legacy experiments,YV_08_experiments,Standalone experiment framework,ARCHIVE_ONLY,,Remove from active workbook,Explicit target excludes this tab,migration package 02 and 05,Locked migration decision,
KTD-L-018,Legacy content calendar,YV_09_content_calendar,Fixed 28-day A B C calendar,REPLACE,YV_04_CAMPAIGN_CALENDAR,Use one real content item per row,Fixed sequence variants and approval routes are obsolete,migration package 05,Locked migration decision,
KTD-L-019,Legacy production briefs,YV_10_production_briefs,Production craft and approval metadata,TRANSFORM,YV_03_CONTENT_SYSTEM and YV_04_CAMPAIGN_CALENDAR,Keep useful craft fields only,Craft can support content without approval ceremony,migration package 03 and 05,Locked migration decision,
KTD-L-020,Legacy asset batch plan,YV_11_asset_batch_plan,Legacy asset requirements,REVALIDATE,YV_04_CAMPAIGN_CALENDAR,Represent only current or planned capture needs,Current asset inventory and rights are unknown,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-006,Current owner instruction,
KTD-L-021,Legacy workflow approval,YV_12_workflow_approval,Writer reviewer and publication gates,ARCHIVE_ONLY,,Remove from active workbook and loaders,Explicitly obsolete for ordinary KTD content,migration package 02,Locked migration decision,
KTD-L-022,Preserved default sheet,Trang tính1,Default legacy workbook tab,ARCHIVE_ONLY,Legacy workbook only,Do not include in target active workbook,Target topology is exactly five active tabs,migration package 05,Locked migration decision,Original remains unchanged
KTD-L-023,Root governance and runtime instructions,AGENTS.md; CLAUDE.md; RULES.md; GOVERNANCE.md; spec.md,Legacy Toplink controls,ARCHIVE_ONLY,KTD runtime contract,Do not default-load into KTD content runtime,Contains obsolete reviewer legal and approval controls,live owner instruction,Current owner instruction,Repository history remains intact
KTD-L-024,Legacy brand dossier,docs Toplink/Ho-so-thuong-hieu-Y-Vien-Toplink-Cai-tien-2026.md,Toplink brand facts,REPLACE,YV_01_BRAND,Use only as historical lineage,No current KTD fact may be inferred from it,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-025,Legacy positioning and pillars,docs Toplink/01_positioning_and_pillars.md,Legacy strategy facts,REVALIDATE,YV_01_BRAND and YV_03_CONTENT_SYSTEM,Retain only method validated by current boundaries,Brand and operating phase changed,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-026,Legacy communication safety,docs Toplink/02_communication_safety.md,Legacy claims and review controls,ARCHIVE_ONLY,,Exclude from default KTD runtime,Locked exclusions replace claim-centered architecture,migration package 02,Locked migration decision,General non-claim boundary is independently current
KTD-L-027,Legacy product and service sources,docs Toplink/03_product_may_vtv.md through 11_Product_Yvien.md,Legacy product effect material,ARCHIVE_ONLY,,Exclude from active Page runtime,High legacy contamination and claim risk,migration package 03,Locked migration decision,
KTD-L-028,Legacy scripts and content formulas,docs Toplink/09_scripts_and_hooks.md; 10_content_formulas_and_checklist.md,Reusable content craft,TRANSFORM,YV_03_CONTENT_SYSTEM,Retain useful grammar without legacy claims and gates,Method can support current content engine,migration package 03 and 04,Locked migration decision,
KTD-L-029,Legacy master plan,docs Toplink/TOPLINK_PAGE_MASTER_PLAN.md,Legacy current strategy owner,ARCHIVE_ONLY,KTD target strategy,Demote from active KTD runtime,Live migration instruction supersedes current authority,live owner instruction,Current owner instruction,
KTD-L-030,Legacy milestones,docs Toplink/TOPLINK_PAGE_MILESTONES.md,Legacy lifecycle and gates,ARCHIVE_ONLY,KTD migration state machine,Demote from active KTD runtime,GM-0 through GM-9 now owns migration execution,live owner instruction,Current owner instruction,
KTD-L-031,Legacy campaign architecture,docs Toplink/brand/campaign-architecture.md,Calendar-first campaign structure,REPLACE,YV_04_CAMPAIGN_CALENDAR,Use state-based current campaign,Old four-week model is not current,migration package 02 and 04,Locked migration decision,
KTD-L-032,Legacy content pillars,docs Toplink/brand/content-pillars.md,Legacy content taxonomy,TRANSFORM,YV_03_CONTENT_SYSTEM,Map only useful logic to locked territories,Current territories and Dry Run take precedence,migration package 04,Locked migration decision,
KTD-L-033,Legacy DMP profile,docs Toplink/brand/dmp-profile.md,Toplink generation context,ARCHIVE_ONLY,KTD context bundle,Prevent default legacy context injection,Brand and governance are obsolete,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-034,Legacy Facebook Page strategy,docs Toplink/brand/facebook-page-strategy.md,Legacy Page role and CTA,TRANSFORM,YV_02_AUDIENCE_PAGE,Rebuild role and non-role,Current communication boundaries supersede legacy funnel gates,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-035,Legacy experiment plan,docs Toplink/brand/kpi-experiment-plan.md,Standalone experiment system,ARCHIVE_ONLY,,Exclude from active runtime,No experiment tab or bureaucracy in target,migration package 04 and 05,Locked migration decision,
KTD-L-036,Legacy narrative,docs Toplink/brand/narrative.md,Legacy narrative facts and method,TRANSFORM,YV_01_BRAND and YV_03_CONTENT_SYSTEM,Keep grammar and re-source factual story,Current story is unknown,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-003,Current owner instruction,
KTD-L-037,Legacy positioning,docs Toplink/brand/positioning.md,Legacy positioning,REPLACE,YV_01_BRAND,Rebuild from current KTD truth,Brand evolved,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,
KTD-L-038,Legacy asset and production materials,docs Toplink/content/asset-and-batch-plan.md; production-briefs.md; reels-briefs.md,Production craft and legacy assets,REVALIDATE,YV_03_CONTENT_SYSTEM and YV_04_CAMPAIGN_CALENDAR,Keep craft and verify assets before use,Current assets and rights are unknown,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-006,Current owner instruction,
KTD-L-039,Legacy month calendar,docs Toplink/content/month-calendar.md,Fixed 28-day content sequence,REPLACE,YV_04_CAMPAIGN_CALENDAR,Use current event-driven pipeline,Fixed A B C sequence is explicitly obsolete,migration package 02 and 05,Locked migration decision,
KTD-L-040,Legacy workflow approval,docs Toplink/content/workflow-approval-measurement.md,Approval and measurement workflow,ARCHIVE_ONLY,YV_04_CAMPAIGN_CALENDAR result fields,Remove gates and retain only lightweight learning,Approval ceremony is explicitly obsolete,migration package 02 and 04,Locked migration decision,
KTD-L-041,Legacy audience research,docs Toplink/research/audience-hypotheses.md,Historical audience hypotheses,REVALIDATE,YV_02_AUDIENCE_PAGE,Use only after current observation,No current audience evidence found,migration/current-truth/unknown-and-conflict-register.csv#KTD-U-008,Current owner instruction,
KTD-L-042,Legacy active constraint assets,docs Toplink/system/compliance-rules.md; input-gaps.md; owner-decisions.md,Legacy blockers and decisions,ARCHIVE_ONLY,,Exclude from active KTD loaders,Would resurrect removed constraints,migration package 02 and 03,Locked migration decision,
KTD-L-043,Legacy staging and audit history,docs Toplink/staging/**; staging/toplink-reconciled/**,Historical run evidence,ARCHIVE_ONLY,Legacy reference pointer,Retain as provenance only,Not current generation context,migration package 03,Locked migration decision,
KTD-L-044,Legacy Sheet sync runtime,.trellis/scripts/toplink_sheet_sync.py,Old topology compiler and writer,REPLACE,KTD target-model runtime,Introduce isolated KTD resolver and canary writer,Old 21-tab and gate assumptions are active dependencies,migration package 08,Locked migration decision,Do not modify legacy script
KTD-L-045,Legacy human-layer builder,.trellis/scripts/yv_build_report_plan.py,Old 21-tab builder,ARCHIVE_ONLY,KTD target workbook plan,Keep as legacy reference and build separate target path,Changing it would risk legacy reproducibility,migration package 08,Locked migration decision,
KTD-L-046,Legacy dataset registries,docs/system/toplink-sheet-dataset-registry.json; yvien-sheet-dataset-registry.json,Old machine topology,REPLACE,migration/runtime/ktd-control-plane.json,Create minimal five-tab registry,Old and new topology cannot compete,migration package 06 and 08,Locked migration decision,
KTD-L-047,Legacy human-layer specification,docs/system/yvien-sheet-human-layer-spec.md,Old 21-tab human model,ARCHIVE_ONLY,migration/workbook/target-workbook-spec.md,Preserve history and use new target spec,Locked topology is four human tabs plus one Control Plane,migration package 05,Locked migration decision,
KTD-L-048,Legacy Sheet runtime tests,.trellis/scripts/tests/test_toplink_sheet_sync.py; test_yv_report_plan.py,Old-schema verification,TRANSFORM,.trellis/scripts/tests/test_ktd_migration.py,Add target-path tests without weakening legacy tests,Both legacy reproducibility and target behavior need proof,migration package 08 and 09,Locked migration decision,
KTD-L-049,Legacy prompt and context loaders,AGENTS.md; CLAUDE.md; docs/prompts/TOPLINK_*.md,Default legacy governance context,REPLACE,migration/runtime/KTD_RUNTIME_CONTEXT.md,Create an explicit clean KTD loader boundary,Legacy gates must not be injected by default,migration/current-truth/CURRENT_KTD_TRUTH.md,Current owner instruction,Legacy files remain untouched
KTD-L-050,Toplink communication safety skill,.agents/skills/toplink-communication-safety/**,Legacy active constraint workflow,ARCHIVE_ONLY,,Exclude from KTD default routing,It would reintroduce reviewer and claim gates,migration package 02 and 03,Locked migration decision,
